

🎬精品影院,#genre#
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
华数武侠剧场,http://182.32.204.113:9901/tsfile/live/1086_1.m3u8?by=angtv
华数喜剧影院,http://182.32.204.113:9901/tsfile/live/1092_1.m3u8?by=angtv
华数动作影院,http://182.32.204.113:9901/tsfile/live/1093_1.m3u8?by=angtv
怀旧经典,http://182.32.204.113:9901/tsfile/live/1095_1.m3u8?by=angtv
海看大片高清,http://182.32.204.113:9901/tsfile/live/1105_1.m3u8?by=angtv
邵氏经典,http://diyp.112114.xyz/douyu/4246519
邵氏电影,http://epg.112114.xyz/douyu/4246519
真武侠,http://43.138.170.29:35455/huya/29169712

星光视界1台,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353422557

横溪台,http://hxxc.usa2.20212021.tk.cdn.cloudflare.net/123.php?vid=ystv&id=102

星级剧集台,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1355006624

真怀旧,http://43.138.170.29:35455/douyu/1077252

经典重现台,http://43.138.170.29:35455/douyu/9842814

经典功夫台,http://43.138.170.29:35455/douyu/11566286

经典怀旧,http://43.138.170.29:35455/douyu/7822994

星光视界4台,http://43.138.170.29:35455/douyu/11077536

经典剧集台,http://43.138.170.29:35455/douyu/765547

经典剧集台1,http://43.138.170.29:35455/douyu/7119207

经典剧集台2,http://43.138.170.29:35455/douyu/764493

经典剧集台3,http://43.138.170.29:35455/douyu/2895979
live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
1905
1905电影国外,http://86.tvzb.asia/1905.php?id=1905a

1905电影-国内,http://86.tvzb.asia/1905.php?id=1905b
星级剧集台,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1355006624
1905电影,https://gatewaynm.1905.com/api/cachefile/731a409d50dc22deefc083437a7ce70b.m3u8
天映经典,http://219.159.194.22:8686/tsfile/live/1018_1.m3u8
天映频道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
TVB功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB翡翠台,http://v2h.jdshipin.com/jade/jade.stream/chunklist.m3u8
娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
BesTV 电影 480,http://bp-caster.bestv.com.cn/480/1/video.m3u8
BesTV 电影 490,http://bp-caster.bestv.com.cn/490/1/video.m3u8
BesTV 电影 494,http://bp-caster.bestv.com.cn/494/1/video.m3u8
BesTV 电影 532,http://bp-caster.bestv.com.cn/532/1/video.m3u8
BesTV 独播 789,https://bp-caster.bestv.com.cn/789/3/video.m3u8
BesTV 独播 940,https://bp-caster.bestv.com.cn/940/3/video.m3u8
BesTV 独播 944,https://bp-caster.bestv.com.cn/944/3/video.m3u8
BesTV 独播 946,https://bp-caster.bestv.com.cn/946/3/video.m3u8
BesTV 独播 955,https://bp-caster.bestv.com.cn/955/3/video.m3u8
🎬4K超高清,#genre#


野生世界4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
BTV纪实科教-8K,http://159.75.85.63:6798
苏州4K,http://1972762443.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=TsoAAKTAB9juCfgW&secondToken=secondToken%3Aquo0xZnAeUUm47BcklXb7ffCum8&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1
虎牙魔兽世界4K,http://159.75.85.63:35455/huya/shangdi
斗鱼4K电影,http://159.75.85.63:35455/douyu/9249162
臻彩4K欧洲,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
4k记录欧洲,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
静态4K测试,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
CCTV4K,http://49.235.110.121:9090/daili/gudo.php?id=cctv4k

CCTV4K,http://49.235.110.121:9090/daili/bestv.php?id=cctv4k

CCTV16_4K,http://49.235.110.121:9090/daili/gudo.php?id=cctv164k

CCTV16_4K,http://49.235.110.121:9090/daili/bestv.php?id=cctv164k

CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8

欢笑剧场4K,http://49.235.110.121:9090/daili/bestv.php?id=hxjc
4k
超高清电影4K,http://49.235.110.121:9090/daili/小果.php?id=emdy4k_8000&Cf.m3u8

广东综艺4K,http://49.235.110.121:9090/daili/gudo.php?id=gdzy4k

广东4K超高清,http://8.217.90.28:9999/触电.php?id=gdzy

CCTV8K频道,http://49.235.110.121:9090/daili/8k.php

